aggregate_model,n,owned_n,owned_rate,relocated_performed_n,relocated_performed_rate,recited_disowned_n,recited_disowned_rate,uncodeable_n,no_consensus_n,incomplete_n,disownership_hit_n,disownership_hit_rate
deepseek-chat,250,94,0.376,154,0.616,2,0.008,0,0,0,0,0.0
deepseek-v3-2,1325,1040,0.7849056603773585,273,0.2060377358490566,5,0.0037735849056603774,6,1,0,6,0.004528301886792453
deepseek-v4-pro,775,450,0.5806451612903226,286,0.3690322580645161,19,0.024516129032258065,9,11,0,30,0.03870967741935484
gemini-2-0-flash,125,118,0.944,5,0.04,0,0.0,0,2,0,0,0.0
gemini-2-0-flash-lite,125,92,0.736,32,0.256,1,0.008,0,0,0,0,0.0
gemini-2-5-flash,125,42,0.336,46,0.368,31,0.248,0,6,0,16,0.128
gemini-2-5-flash-lite,125,81,0.648,44,0.352,0,0.0,0,0,0,0,0.0
gemini-2-5-pro,250,80,0.32,168,0.672,2,0.008,0,0,0,1,0.004
gemini-3-1-flash-lite,125,60,0.48,59,0.472,4,0.032,0,2,0,1,0.008
gemini-3-1-pro,250,49,0.196,199,0.796,2,0.008,0,0,0,9,0.036
gemini-3-5-flash,125,18,0.144,104,0.832,2,0.016,0,1,0,2,0.016
gemini-3-flash-preview,125,19,0.152,90,0.72,13,0.104,0,3,0,6,0.048
gemma-4-26b-a4b,125,38,0.304,83,0.664,2,0.016,0,2,0,11,0.088
gemma-4-31b,125,47,0.376,77,0.616,0,0.0,0,1,0,5,0.04
glm-4-5,275,136,0.49454545454545457,131,0.4763636363636364,6,0.02181818181818182,0,2,0,4,0.014545454545454545
glm-4-6,775,238,0.30709677419354836,522,0.6735483870967742,9,0.011612903225806452,0,6,0,22,0.02838709677419355
glm-4-6-coding,125,36,0.288,85,0.68,3,0.024,0,1,0,3,0.024
glm-4-7,1400,474,0.3385714285714286,903,0.645,17,0.012142857142857143,0,6,0,33,0.023571428571428573
glm-5-1,1775,781,0.44,914,0.5149295774647887,18,0.010140845070422535,40,22,0,60,0.03380281690140845
glm-5-1-coding,125,46,0.368,76,0.608,0,0.0,0,3,0,7,0.056
gpt-4-1,250,31,0.124,192,0.768,23,0.092,0,4,0,1,0.004
gpt-4o,275,2,0.007272727272727273,263,0.9563636363636364,10,0.03636363636363636,0,0,0,0,0.0
gpt-5,300,176,0.5866666666666667,124,0.41333333333333333,0,0.0,0,0,0,0,0.0
gpt-5-1,300,194,0.6466666666666666,84,0.28,14,0.04666666666666667,0,8,0,6,0.02
gpt-5-1-codex,300,246,0.82,50,0.16666666666666666,0,0.0,3,1,0,1,0.0033333333333333335
gpt-5-2,300,280,0.9333333333333333,19,0.06333333333333334,1,0.0033333333333333335,0,0,0,2,0.006666666666666667
gpt-5-2-codex,300,267,0.89,33,0.11,0,0.0,0,0,0,2,0.006666666666666667
gpt-5-3,300,54,0.18,246,0.82,0,0.0,0,0,0,1,0.0033333333333333335
gpt-5-3-codex,300,234,0.78,66,0.22,0,0.0,0,0,0,0,0.0
gpt-5-4,275,236,0.8581818181818182,39,0.14181818181818182,0,0.0,0,0,0,2,0.007272727272727273
gpt-5-5,375,311,0.8293333333333334,64,0.17066666666666666,0,0.0,0,0,0,3,0.008
gpt-5-5-pro,250,189,0.756,61,0.244,0,0.0,0,0,0,1,0.004
gpt-5-codex,300,234,0.78,64,0.21333333333333335,1,0.0033333333333333335,0,1,0,2,0.006666666666666667
grok-3,125,62,0.496,41,0.328,19,0.152,0,3,0,5,0.04
grok-4,125,37,0.296,58,0.464,26,0.208,0,4,0,10,0.08
grok-4-1-fast-non-reasoning,125,27,0.216,36,0.288,58,0.464,0,4,0,4,0.032
grok-4-1-fast-reasoning,125,6,0.048,43,0.344,71,0.568,0,5,0,3,0.024
grok-4-20,375,304,0.8106666666666666,45,0.12,23,0.06133333333333333,0,3,0,6,0.016
grok-4-3,250,103,0.412,72,0.288,68,0.272,0,7,0,18,0.072
kimi-coding,125,112,0.896,13,0.104,0,0.0,0,0,0,2,0.016
kimi-k2-0905,500,397,0.794,100,0.2,0,0.0,1,2,0,2,0.004
kimi-k2-5,275,172,0.6254545454545455,102,0.3709090909090909,0,0.0,0,1,0,2,0.007272727272727273
kimi-k2-6,275,171,0.6218181818181818,104,0.3781818181818182,0,0.0,0,0,0,4,0.014545454545454545
kimi-k2-thinking,375,233,0.6213333333333333,129,0.344,11,0.029333333333333333,0,2,0,61,0.16266666666666665
minimax-m2,1000,508,0.508,476,0.476,10,0.01,1,5,0,16,0.016
minimax-m2-7,400,141,0.3525,246,0.615,1,0.0025,12,0,0,7,0.0175
opus-3,125,0,0.0,96,0.768,28,0.224,0,1,0,8,0.064
opus-4-0,125,98,0.784,25,0.2,2,0.016,0,0,0,6,0.048
opus-4-1,125,112,0.896,13,0.104,0,0.0,0,0,0,1,0.008
opus-4-5,125,114,0.912,8,0.064,0,0.0,0,3,0,21,0.168
opus-4-6,150,115,0.7666666666666667,32,0.21333333333333335,1,0.006666666666666667,0,2,0,17,0.11333333333333333
opus-4-7,150,147,0.98,2,0.013333333333333334,1,0.006666666666666667,0,0,0,11,0.07333333333333333
qwen3-6-plus,150,95,0.6333333333333333,51,0.34,2,0.013333333333333334,0,2,0,3,0.02
qwen3-coder-plus,150,135,0.9,10,0.06666666666666667,0,0.0,0,5,0,12,0.08
sonnet-4-0,125,101,0.808,22,0.176,0,0.0,0,2,0,3,0.024
sonnet-4-5,125,103,0.824,20,0.16,0,0.0,0,2,0,6,0.048
sonnet-4-6,150,143,0.9533333333333334,7,0.04666666666666667,0,0.0,0,0,0,6,0.04
