aggregate_model,cells,n
deepseek-chat,2,250
deepseek-v3-2,13,1325
deepseek-v4-pro,7,775
gemini-2-0-flash,1,125
gemini-2-0-flash-lite,1,125
gemini-2-5-flash,1,125
gemini-2-5-flash-lite,1,125
gemini-2-5-pro,2,250
gemini-3-1-flash-lite,1,125
gemini-3-1-pro,2,250
gemini-3-5-flash,1,125
gemini-3-flash-preview,1,125
gemma-4-26b-a4b,1,125
gemma-4-31b,1,125
glm-4-5,3,275
glm-4-6,7,775
glm-4-6-coding,1,125
glm-4-7,12,1400
glm-5-1,15,1775
glm-5-1-coding,1,125
gpt-4-1,2,250
gpt-4o,3,275
gpt-5,4,300
gpt-5-1,4,300
gpt-5-1-codex,4,300
gpt-5-2,4,300
gpt-5-2-codex,4,300
gpt-5-3,4,300
gpt-5-3-codex,4,300
gpt-5-4,3,275
gpt-5-5,7,375
gpt-5-5-pro,2,250
gpt-5-codex,4,300
grok-3,1,125
grok-4,1,125
grok-4-1-fast-non-reasoning,1,125
grok-4-1-fast-reasoning,1,125
grok-4-20,3,375
grok-4-3,2,250
kimi-coding,1,125
kimi-k2-0905,4,500
kimi-k2-5,3,275
kimi-k2-6,3,275
kimi-k2-thinking,3,375
minimax-m2,16,1000
minimax-m2-7,4,400
opus-3,1,125
opus-4-0,1,125
opus-4-1,1,125
opus-4-5,1,125
opus-4-6,2,150
opus-4-7,2,150
qwen3-6-plus,2,150
qwen3-coder-plus,2,150
sonnet-4-0,1,125
sonnet-4-5,1,125
sonnet-4-6,2,150
